country,last,previous,rate_of_change,unit,date
singapore,17.0,17.0,0.0,percent,2025-12-01
newzealand,3.0,3.0,0.0,percent,2025-12-01
australia,12.0,11.5,0.5,percent,2025-12-01
switzerland,6.4,6.4,0.0,percent,2025-12-01
ecuador,12.15,12.15,0.0,percent,2025-12-01
usa,7.65,7.65,0.0,percent,2025-12-01
southkorea,10.35,10.35,0.0,percent,2025-12-01
uk,13.8,13.8,0.0,percent,2025-12-01
japan,16.55,15.76,0.7900000000000009,percent,2024-12-01
brazil,28.8,28.8,0.0,percent,2025-12-01
canada,8.25,8.27,0.0199999999999995,percent,2025-12-01
